movieid;title;rate;url;is_new;playable;cover
1424618;饭;8.3;https://movie.douban.com/subject/1424618/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p794829964.jpg
1807990;怪医黑杰克;8.6;https://movie.douban.com/subject/1807990/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p453994192.jpg
25928148;罗密欧与朱丽叶;9.2;https://movie.douban.com/subject/25928148/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2224933614.jpg
1303553;仆人;8.3;https://movie.douban.com/subject/1303553/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2197045856.jpg
1866433;特殊的友情;8.3;https://movie.douban.com/subject/1866433/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1327975191.jpg
1297441;我的朋友叫哈维;8.0;https://movie.douban.com/subject/1297441/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1675722782.jpg
1420124;偶然与巧合;8.7;https://movie.douban.com/subject/1420124/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p808397967.jpg
1416903;寂静的生活;8.2;https://movie.douban.com/subject/1416903/;False;False;https://img3.doubanio.com/lpic/s1430333.jpg
3336237;吻;8.4;https://movie.douban.com/subject/3336237/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1637860602.jpg
1437432;侍;8.2;https://movie.douban.com/subject/1437432/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1823689020.jpg
3095492;山樱;8.1;https://movie.douban.com/subject/3095492/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p636601382.jpg
1438733;女权天使;8.7;https://movie.douban.com/subject/1438733/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2222513885.jpg
1758645;等待戈多;8.6;https://movie.douban.com/subject/1758645/;False;False;https://img3.doubanio.com/lpic/s4594721.jpg
25892252;帷幕：波洛的最后一案;9.2;https://movie.douban.com/subject/25892252/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2184353409.jpg
1295538;春色一箩筐;8.3;https://movie.douban.com/subject/1295538/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p849207256.jpg
1300962;零用钱;8.3;https://movie.douban.com/subject/1300962/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2192603061.jpg
1303495;第四十一;8.1;https://movie.douban.com/subject/1303495/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2339924475.jpg
1754812;伊豆舞女;8.3;https://movie.douban.com/subject/1754812/;False;False;https://img3.doubanio.com/lpic/s2830506.jpg
4925455;风愿;8.0;https://movie.douban.com/subject/4925455/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2193232152.jpg
2082176;我的妹妹小桃子;8.7;https://movie.douban.com/subject/2082176/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2282600972.jpg
1850003;蓬车队;8.1;https://movie.douban.com/subject/1850003/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2225762660.jpg
1295786;粉身碎骨;8.4;https://movie.douban.com/subject/1295786/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2319021997.jpg
2000736;笔中情;8.5;https://movie.douban.com/subject/2000736/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2466653393.jpg
2264580;迪迦&戴拿&盖亚·奥特曼 超时空的大决戦;8.2;https://movie.douban.com/subject/2264580/;False;True;https://img3.doubanio.com/lpic/s4235422.jpg
20277075;绅士联盟 圣诞特辑;9.1;https://movie.douban.com/subject/20277075/;False;False;https://img1.doubanio.com/lpic/s23126429.jpg
4603499;梅第奇家族：现代艺术缔造者;8.1;https://movie.douban.com/subject/4603499/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2386639440.jpg
1303579;被遗忘的人们;8.4;https://movie.douban.com/subject/1303579/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2213281841.jpg
1293614;危机最前线;8.1;https://movie.douban.com/subject/1293614/;False;True;https://img3.doubanio.com/lpic/s1441715.jpg
1478142;过客;8.5;https://movie.douban.com/subject/1478142/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2152885924.jpg
1427619;白痴;8.2;https://movie.douban.com/subject/1427619/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1328593054.jpg
1297440;荒野有情天;8.6;https://movie.douban.com/subject/1297440/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2206684355.jpg
1458035;贤治之春;8.8;https://movie.douban.com/subject/1458035/;False;False;https://img1.doubanio.com/lpic/s1475117.jpg
1866354;詹姆斯·迪恩;8.0;https://movie.douban.com/subject/1866354/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p809973317.jpg
3707151;无人知晓的波斯猫;8.1;https://movie.douban.com/subject/3707151/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2221856935.jpg
1297605;尘世之间;8.0;https://movie.douban.com/subject/1297605/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1701788404.jpg
1303033;新天堂星探;8.2;https://movie.douban.com/subject/1303033/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1789482667.jpg
1305567;饥饿海峡;8.4;https://movie.douban.com/subject/1305567/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2327291063.jpg
1775734;主要嫌疑犯1：致命代价;8.6;https://movie.douban.com/subject/1775734/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2453428482.jpg
1437326;狐及其友;8.1;https://movie.douban.com/subject/1437326/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2389381851.jpg
2049705;梦比优斯奥特曼和奥特兄弟;8.3;https://movie.douban.com/subject/2049705/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2168899397.jpg
1296550;小淘气;8.2;https://movie.douban.com/subject/1296550/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p486965605.jpg
1298415;巴斯克维尔的猎犬;8.7;https://movie.douban.com/subject/1298415/;False;False;https://img3.doubanio.com/lpic/s3667222.jpg
4111521;枪神 剧场版;8.1;https://movie.douban.com/subject/4111521/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2245740087.jpg
3562674;60岁的情书;8.1;https://movie.douban.com/subject/3562674/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p951807329.jpg
3532670;恩赐妙手：班·卡森医师;8.2;https://movie.douban.com/subject/3532670/;False;True;https://img3.doubanio.com/lpic/s11428854.jpg
1757945;生来自由;8.9;https://movie.douban.com/subject/1757945/;False;True;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2236522414.jpg
1361277;替天行道三人行;8.0;https://movie.douban.com/subject/1361277/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1963021150.jpg
1306987;高尔夫球场的疑云;8.2;https://movie.douban.com/subject/1306987/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2176431003.jpg
1292684;春风不化雨;8.3;https://movie.douban.com/subject/1292684/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2204472409.jpg
1919626;黑帮大佬和平梦;8.1;https://movie.douban.com/subject/1919626/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1726702357.jpg
1293835;豺狼的日子;8.2;https://movie.douban.com/subject/1293835/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1757942737.jpg
1437165;国王与王后;8.0;https://movie.douban.com/subject/1437165/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p957837606.jpg
1305892;清秀佳人;8.8;https://movie.douban.com/subject/1305892/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2321854241.jpg
